X , Y, error , micros , speed
0.50 , 0.79 , -268 , 44979740 , 0.24
0.49 , 0.79 , -233 , 45006036 , 0.25
0.48 , 0.80 , -192 , 45032304 , 0.25
0.48 , 0.80 , -193 , 45058628 , 0.26
0.47 , 0.80 , -212 , 45084948 , 0.28
0.46 , 0.80 , -249 , 45111256 , 0.27
0.46 , 0.81 , -238 , 45137568 , 0.27
0.45 , 0.81 , -229 , 45163904 , 0.26
0.44 , 0.81 , -283 , 45190212 , 0.27
0.44 , 0.81 , -286 , 45216492 , 0.27
0.43 , 0.82 , -250 , 45242800 , 0.25
0.43 , 0.82 , -268 , 45269100 , 0.25
0.42 , 0.82 , -245 , 45295388 , 0.26
0.41 , 0.82 , -283 , 45321684 , 0.25
0.41 , 0.82 , -309 , 45347972 , 0.25
0.40 , 0.82 , -288 , 45374252 , 0.25
0.39 , 0.83 , -258 , 45400508 , 0.24
0.39 , 0.83 , -214 , 45426808 , 0.25
0.38 , 0.83 , -232 , 45453108 , 0.25
0.37 , 0.83 , -271 , 45479396 , 0.26
0.37 , 0.83 , -276 , 45505684 , 0.25
0.36 , 0.83 , -228 , 45531976 , 0.25
0.35 , 0.83 , -159 , 45558288 , 0.25
0.35 , 0.83 , -194 , 45584632 , 0.27
0.34 , 0.83 , -222 , 45610948 , 0.28
0.33 , 0.84 , -271 , 45637260 , 0.27
0.33 , 0.84 , -213 , 45663560 , 0.25
0.32 , 0.84 , -214 , 45689892 , 0.25
0.31 , 0.84 , -217 , 45716240 , 0.27
0.31 , 0.84 , -228 , 45742516 , 0.27
0.30 , 0.84 , -239 , 45768836 , 0.26
0.29 , 0.84 , -248 , 45795140 , 0.26
0.29 , 0.84 , -208 , 45821480 , 0.26
0.28 , 0.84 , -178 , 45847840 , 0.26
0.27 , 0.84 , -156 , 45874156 , 0.28
0.26 , 0.84 , -172 , 45900500 , 0.27
0.26 , 0.84 , -434 , 45926872 , 0.28
0.25 , 0.84 , -62 , 45953188 , 0.28
